"","publishstate","country","region","year","gho","value","unregion"
"87","Published","Belarus","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"88","Published","Belarus","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"89","Published","Belarus","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"90","Published","Belarus","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"91","Published","Belgium","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"92","Published","Belgium","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"93","Published","Belgium","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"94","Published","Belgium","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"95","Published","Belgium","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"96","Published","Belgium","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"97","Published","Belgium","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"98","Published","Benin","Africa",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",48.8,NA
"99","Published","Benin","Africa",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",53.1,NA
"100","Published","Benin","Africa",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",49.5,NA
"101","Published","Burkina Faso","Africa",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",57.3,NA
"102","Published","Burkina Faso","Africa",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",55.3,NA
"103","Published","Burkina Faso","Africa",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",43.7,NA
"104","Published","Bangladesh","South-East Asia",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",34.8,NA
"105","Published","Bangladesh","South-East Asia",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",25.7,NA
"106","Published","Bangladesh","South-East Asia",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.6,NA
"107","Published","Bangladesh","South-East Asia",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",14.8,NA
"108","Published","Bulgaria","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.5,NA
"109","Published","Bulgaria","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.7,NA
"110","Published","Bulgaria","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"111","Published","Bulgaria","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",2,NA
"112","Published","Bulgaria","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.2,NA
"113","Published","Bulgaria","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",2,NA
"114","Published","Bulgaria","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.2,NA
"115","Published","Bolivia (Plurinational State of)","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.8,NA
"116","Published","Belarus","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"117","Published","Brazil","Americas",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.6,NA
"118","Published","Brazil","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.2,NA
"119","Published","Brazil","Americas",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.8,NA
"120","Published","Brazil","Americas",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.6,NA
"121","Published","Brazil","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.4,NA
"122","Published","Brazil","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.7,NA
"123","Published","Brazil","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.8,NA
"124","Published","Brazil","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.8,NA
"125","Published","Brazil","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.8,NA
"126","Published","Brazil","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.4,NA
"127","Published","Brazil","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.3,NA
"128","Published","Brazil","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.8,NA
"129","Published","Bhutan","South-East Asia",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",17.6,NA
"130","Published","Bhutan","South-East Asia",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",8,NA
"131","Published","Bhutan","South-East Asia",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.2,NA
"132","Published","Bhutan","South-East Asia",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"133","Published","Botswana","Africa",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",29.8,NA
"134","Published","Botswana","Africa",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",18.2,NA
"135","Published","Belarus","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"136","Published","Belarus","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"137","Published","Belarus","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"138","Published","Belarus","Europe",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"139","Published","Belarus","Europe",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"140","Published","Bolivia (Plurinational State of)","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",28.6,NA
"141","Published","Bolivia (Plurinational State of)","Americas",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",22.8,NA
"142","Published","Bolivia (Plurinational State of)","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",24.7,NA
"143","Published","Bolivia (Plurinational State of)","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",13.7,NA
"144","Published","Bolivia (Plurinational State of)","Americas",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.3,NA
"145","Published","Bolivia (Plurinational State of)","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",16.4,NA
"146","Published","Bolivia (Plurinational State of)","Americas",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",12.4,NA
"147","Published","Bolivia (Plurinational State of)","Americas",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.1,NA
"148","Published","Bolivia (Plurinational State of)","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.5,NA
"149","Published","Bolivia (Plurinational State of)","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.3,NA
"150","Published","Bolivia (Plurinational State of)","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.2,NA
"151","Published","Bolivia (Plurinational State of)","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.9,NA
"152","Published","Bolivia (Plurinational State of)","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.8,NA
"153","Published","Bolivia (Plurinational State of)","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.4,NA
"154","Published","Bolivia (Plurinational State of)","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.1,NA
"155","Published","Brazil","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.7,NA
"156","Published","Brazil","Americas",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.6,NA
"157","Published","Brazil","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.3,NA
"158","Published","Brazil","Americas",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.1,NA
"159","Published","Chile","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.6,NA
"160","Published","Botswana","Africa",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",16.1,NA
"161","Published","China","Western Pacific",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",31.7,NA
"162","Published","China","Western Pacific",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",18.5,NA
"163","Published","China","Western Pacific",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",14.8,NA
"164","Published","China","Western Pacific",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.2,NA
"165","Published","China","Western Pacific",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.9,NA
"166","Published","China","Western Pacific",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.5,NA
"167","Published","China","Western Pacific",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.9,NA
"168","Published","China","Western Pacific",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"169","Published","China","Western Pacific",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"170","Published","Central African Republic","Africa",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",64.8,NA
"171","Published","Central African Republic","Africa",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",66.3,NA
"172","Published","Canada","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"173","Published","Canada","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"174","Published","Canada","Americas",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"175","Published","Canada","Americas",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"176","Published","Canada","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"177","Published","Switzerland","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"178","Published","Switzerland","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"179","Published","Switzerland","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"180","Published","Switzerland","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"181","Published","Switzerland","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"182","Published","Switzerland","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"183","Published","Switzerland","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"184","Published","Switzerland","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"185","Published","Switzerland","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"186","Published","Switzerland","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"187","Published","Chile","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.4,NA
"188","Published","Chile","Americas",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.2,NA
"189","Published","Chile","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.4,NA
"190","Published","Chile","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"191","Published","Chile","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.6,NA
"192","Published","Chile","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.9,NA
"193","Published","Chile","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.3,NA
"194","Published","Colombia","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.7,NA
"195","Published","Colombia","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.9,NA
"196","Published","Comoros","Africa",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",13.5,NA
"197","Published","Comoros","Africa",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",17.9,NA
"198","Published","Cabo Verde","Africa",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",16.2,NA
"199","Published","Cabo Verde","Africa",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.1,NA
"200","Published","Costa Rica","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.5,NA
"201","Published","Costa Rica","Americas",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.7,NA
"202","Published","Costa Rica","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.5,NA
"203","Published","Costa Rica","Americas",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.4,NA
"204","Published","Costa Rica","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.3,NA
"205","Published","Costa Rica","Americas",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.1,NA
"206","Published","Costa Rica","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.2,NA
"207","Published","Costa Rica","Americas",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.7,NA
"208","Published","Costa Rica","Americas",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.2,NA
"209","Published","Costa Rica","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.4,NA
"210","Published","Costa Rica","Americas",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"211","Published","Costa Rica","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.6,NA
"212","Published","Costa Rica","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.6,NA
"213","Published","Costa Rica","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.6,NA
"214","Published","Côte d'Ivoire","Africa",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",23.2,NA
"215","Published","Côte d'Ivoire","Africa",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",29.1,NA
"216","Published","Côte d'Ivoire","Africa",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",28.2,NA
"217","Published","Cameroon","Africa",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",23.1,NA
"218","Published","Cameroon","Africa",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",29.3,NA
"219","Published","Cameroon","Africa",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",23.8,NA
"220","Published","Democratic Republic of the Congo","Africa",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",94.1,NA
"221","Published","Democratic Republic of the Congo","Africa",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",76.6,NA
"222","Published","Congo","Africa",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",53.4,NA
"223","Published","Congo","Africa",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",37,NA
"224","Published","Colombia","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",16.4,NA
"225","Published","Colombia","Americas",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.7,NA
"226","Published","Colombia","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",14.3,NA
"227","Published","Colombia","Americas",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",12,NA
"228","Published","Colombia","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.9,NA
"229","Published","Colombia","Americas",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.7,NA
"230","Published","Colombia","Americas",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",10.4,NA
"231","Published","Colombia","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",8.9,NA
"232","Published","Colombia","Americas",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.7,NA
"233","Published","Colombia","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.3,NA
"234","Published","Colombia","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",6.2,NA
"235","Published","Colombia","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",5,NA
"236","Published","Colombia","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.5,NA
"237","Published","Colombia","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.5,NA
"238","Published","Costa Rica","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"239","Published","Czechia","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"240","Published","Czechia","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"241","Published","Czechia","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"242","Published","Germany","Europe",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"243","Published","Germany","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"244","Published","Germany","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"245","Published","Germany","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"246","Published","Germany","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"247","Published","Germany","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"248","Published","Germany","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"249","Published","Germany","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"250","Published","Germany","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"251","Published","Germany","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"252","Published","Germany","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"253","Published","Germany","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"254","Published","Germany","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"255","Published","Germany","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"256","Published","Djibouti","Eastern Mediterranean",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",20.6,NA
"257","Published","Djibouti","Eastern Mediterranean",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",18.3,NA
"258","Published","Costa Rica","Americas",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"259","Published","Costa Rica","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.3,NA
"260","Published","Costa Rica","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"261","Published","Cyprus","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"262","Published","Cyprus","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"263","Published","Cyprus","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"264","Published","Cyprus","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
