,geo,time,value
122,Austria,2010-03-01,55.08
123,Austria,2010-04-01,50.67
124,Austria,2010-05-01,48.76
125,Austria,2010-06-01,48.19
126,Austria,2010-07-01,44.82
127,Austria,2010-08-01,53.36
128,Austria,2010-09-01,53.51
129,Austria,2010-10-01,57.27
130,Austria,2010-11-01,65.07
131,Austria,2010-12-01,57.56
132,Austria,2011-01-01,49.59
133,Austria,2011-02-01,45.43
134,Austria,2011-03-01,52.27
135,Austria,2011-04-01,47.63
136,Austria,2011-05-01,51.36
137,Austria,2011-06-01,42.8
138,Austria,2011-07-01,45.11
139,Austria,2011-08-01,51.18
140,Austria,2011-09-01,54.06
141,Austria,2011-10-01,56.74
142,Austria,2011-11-01,62.47
143,Austria,2011-12-01,55.89
144,Austria,2012-01-01,49.61
145,Austria,2012-02-01,46.15
146,Austria,2012-03-01,53.58
147,Austria,2012-04-01,46.94
148,Austria,2012-05-01,47.17
149,Austria,2012-06-01,43.8
150,Austria,2012-07-01,48.85
151,Austria,2012-08-01,45.75
152,Austria,2012-09-01,54.91
153,Austria,2012-10-01,61.72
154,Austria,2012-11-01,59.33
155,Austria,2012-12-01,51.88
156,Austria,2013-01-01,53.5
157,Austria,2013-02-01,46.8
158,Austria,2013-03-01,50.34
159,Austria,2013-04-01,51.92
160,Austria,2013-05-01,48.27
161,Austria,2013-06-01,41.6
162,Austria,2013-07-01,53.01
163,Austria,2013-08-01,51.49
164,Austria,2013-09-01,53.41
165,Austria,2013-10-01,62.55
166,Austria,2013-11-01,56.95
167,Austria,2013-12-01,53.44
168,Austria,2014-01-01,54.36
169,Austria,2014-02-01,46.45
170,Austria,2014-03-01,49.87
171,Austria,2014-04-01,46.72
172,Austria,2014-05-01,44.71
173,Austria,2014-06-01,43.42
174,Austria,2014-07-01,50.0
175,Austria,2014-08-01,46.54
176,Austria,2014-09-01,55.6
177,Austria,2014-10-01,61.49
178,Austria,2014-11-01,53.3
179,Austria,2014-12-01,56.25
180,Austria,2015-01-01,51.98
181,Austria,2015-02-01,47.01
182,Austria,2015-03-01,55.43
183,Austria,2015-04-01,51.06
184,Austria,2015-05-01,47.01
185,Austria,2015-06-01,48.83
186,Austria,2015-07-01,48.11
187,Austria,2015-08-01,49.95
188,Austria,2015-09-01,57.97
189,Austria,2015-10-01,58.23
190,Austria,2015-11-01,59.01
191,Austria,2015-12-01,56.83
192,Austria,2016-01-01,50.47
193,Austria,2016-02-01,51.91
194,Austria,2016-03-01,55.05
195,Austria,2016-04-01,51.46
196,Austria,2016-05-01,49.28
197,Austria,2016-06-01,46.53
198,Austria,2016-07-01,44.84
199,Austria,2016-08-01,50.55
200,Austria,2016-09-01,54.73
201,Austria,2016-10-01,56.07
202,Austria,2016-11-01,61.56
203,Austria,2016-12-01,54.07
204,Austria,2017-01-01,49.81
205,Austria,2017-02-01,47.01
206,Austria,2017-03-01,54.64
207,Austria,2017-04-01,47.05
208,Austria,2017-05-01,51.69
209,Austria,2017-06-01,47.44
210,Austria,2017-07-01,45.58
211,Austria,2017-08-01,49.96
212,Austria,2017-09-01,52.44
213,Austria,2017-10-01,59.31
214,Austria,2017-11-01,61.88
215,Austria,2017-12-01,55.18
216,Austria,2018-01-01,57.45
217,Austria,2018-02-01,47.52
218,Austria,2018-03-01,55.89
219,Austria,2018-04-01,52.66
220,Austria,2018-05-01,49.18
221,Austria,2018-06-01,48.56
222,Austria,2018-07-01,48.51
223,Austria,2018-08-01,53.95
224,Austria,2018-09-01,50.09
225,Austria,2018-10-01,61.29
226,Austria,2018-11-01,62.26
227,Austria,2018-12-01,51.71
228,Austria,2019-01-01,54.06
229,Austria,2019-02-01,48.17
230,Austria,2019-03-01,52.03
231,Austria,2019-04-01,52.67
232,Austria,2019-05-01,52.51
233,Austria,2019-06-01,41.65
234,Austria,2019-07-01,50.1
235,Austria,2019-08-01,47.68
236,Austria,2019-09-01,52.15
237,Austria,2019-10-01,61.17
238,Austria,2019-11-01,58.78
239,Austria,2019-12-01,54.51
360,Belgium,2010-01-01,35.4
361,Belgium,2010-02-01,32.82
362,Belgium,2010-03-01,38.5
363,Belgium,2010-04-01,38.06
364,Belgium,2010-05-01,38.04
365,Belgium,2010-06-01,38.8
366,Belgium,2010-07-01,35.27
367,Belgium,2010-08-01,42.59
368,Belgium,2010-09-01,42.74
369,Belgium,2010-10-01,45.28
370,Belgium,2010-11-01,52.56
371,Belgium,2010-12-01,47.83
372,Belgium,2011-01-01,46.68
373,Belgium,2011-02-01,41.82
374,Belgium,2011-03-01,45.67
375,Belgium,2011-04-01,43.95
376,Belgium,2011-05-01,44.27
377,Belgium,2011-06-01,41.96
378,Belgium,2011-07-01,36.97
379,Belgium,2011-08-01,43.99
380,Belgium,2011-09-01,44.12
381,Belgium,2011-10-01,44.53
382,Belgium,2011-11-01,47.13
383,Belgium,2011-12-01,45.75
384,Belgium,2012-01-01,41.92
385,Belgium,2012-02-01,38.8
386,Belgium,2012-03-01,43.87
387,Belgium,2012-04-01,42.2
388,Belgium,2012-05-01,41.51
389,Belgium,2012-06-01,42.21
390,Belgium,2012-07-01,38.25
391,Belgium,2012-08-01,42.74
392,Belgium,2012-09-01,39.61
393,Belgium,2012-10-01,47.26
394,Belgium,2012-11-01,43.26
395,Belgium,2012-12-01,40.84
396,Belgium,2013-01-01,39.12
397,Belgium,2013-02-01,35.19
398,Belgium,2013-03-01,38.84
399,Belgium,2013-04-01,38.68
400,Belgium,2013-05-01,39.41
401,Belgium,2013-06-01,34.48
402,Belgium,2013-07-01,36.92
403,Belgium,2013-08-01,37.96
404,Belgium,2013-09-01,41.0
405,Belgium,2013-10-01,45.46
406,Belgium,2013-11-01,41.76
407,Belgium,2013-12-01,42.14
408,Belgium,2014-01-01,44.79
409,Belgium,2014-02-01,36.26
410,Belgium,2014-03-01,39.34
411,Belgium,2014-04-01,38.03
412,Belgium,2014-05-01,40.35
413,Belgium,2014-06-01,39.88
414,Belgium,2014-07-01,35.36
415,Belgium,2014-08-01,39.53
416,Belgium,2014-09-01,41.91
417,Belgium,2014-10-01,50.24
418,Belgium,2014-11-01,41.4
419,Belgium,2014-12-01,45.29
420,Belgium,2015-01-01,42.68
421,Belgium,2015-02-01,36.78
422,Belgium,2015-03-01,41.87
423,Belgium,2015-04-01,39.86
424,Belgium,2015-05-01,38.56
425,Belgium,2015-06-01,48.52
426,Belgium,2015-07-01,38.03
427,Belgium,2015-08-01,41.59
428,Belgium,2015-09-01,45.61
429,Belgium,2015-10-01,45.3
430,Belgium,2015-11-01,45.4
431,Belgium,2015-12-01,45.6
432,Belgium,2016-01-01,42.13
433,Belgium,2016-02-01,41.5
434,Belgium,2016-03-01,42.43
435,Belgium,2016-04-01,43.48
436,Belgium,2016-05-01,43.49
437,Belgium,2016-06-01,43.61
438,Belgium,2016-07-01,39.32
439,Belgium,2016-08-01,46.0
440,Belgium,2016-09-01,51.75
441,Belgium,2016-10-01,48.19
442,Belgium,2016-11-01,46.62
443,Belgium,2016-12-01,46.82
444,Belgium,2017-01-01,44.61
445,Belgium,2017-02-01,40.92
446,Belgium,2017-03-01,49.82
447,Belgium,2017-04-01,41.02
448,Belgium,2017-05-01,46.29
449,Belgium,2017-06-01,45.85
450,Belgium,2017-07-01,38.12
451,Belgium,2017-08-01,43.85
452,Belgium,2017-09-01,46.12
453,Belgium,2017-10-01,46.87
454,Belgium,2017-11-01,47.49
455,Belgium,2017-12-01,46.69
456,Belgium,2018-01-01,45.94
457,Belgium,2018-02-01,40.46
458,Belgium,2018-03-01,44.82
459,Belgium,2018-04-01,42.34
460,Belgium,2018-05-01,43.38
461,Belgium,2018-06-01,42.9
462,Belgium,2018-07-01,39.74
463,Belgium,2018-08-01,46.9
464,Belgium,2018-09-01,42.87
465,Belgium,2018-10-01,49.14
466,Belgium,2018-11-01,48.2
467,Belgium,2018-12-01,43.5
468,Belgium,2019-01-01,43.24
469,Belgium,2019-02-01,37.48
470,Belgium,2019-03-01,40.84
471,Belgium,2019-04-01,41.51
472,Belgium,2019-05-01,42.13
473,Belgium,2019-06-01,37.75
474,Belgium,2019-07-01,36.77
475,Belgium,2019-08-01,41.93
476,Belgium,2019-09-01,42.79
477,Belgium,2019-10-01,45.58
478,Belgium,2019-11-01,41.31
479,Belgium,2019-12-01,41.12
240,Bosnia and Herzegovina,2010-01-01,
241,Bosnia and Herzegovina,2010-02-01,
242,Bosnia and Herzegovina,2010-03-01,
243,Bosnia and Herzegovina,2010-04-01,
244,Bosnia and Herzegovina,2010-05-01,
245,Bosnia and Herzegovina,2010-06-01,
246,Bosnia and Herzegovina,2010-07-01,
247,Bosnia and Herzegovina,2010-08-01,
248,Bosnia and Herzegovina,2010-09-01,
249,Bosnia and Herzegovina,2010-10-01,
250,Bosnia and Herzegovina,2010-11-01,
251,Bosnia and Herzegovina,2010-12-01,
252,Bosnia and Herzegovina,2011-01-01,
253,Bosnia and Herzegovina,2011-02-01,
254,Bosnia and Herzegovina,2011-03-01,
255,Bosnia and Herzegovina,2011-04-01,
256,Bosnia and Herzegovina,2011-05-01,
257,Bosnia and Herzegovina,2011-06-01,
258,Bosnia and Herzegovina,2011-07-01,
259,Bosnia and Herzegovina,2011-08-01,
260,Bosnia and Herzegovina,2011-09-01,
261,Bosnia and Herzegovina,2011-10-01,
262,Bosnia and Herzegovina,2011-11-01,
263,Bosnia and Herzegovina,2011-12-01,
264,Bosnia and Herzegovina,2012-01-01,
265,Bosnia and Herzegovina,2012-02-01,
266,Bosnia and Herzegovina,2012-03-01,
267,Bosnia and Herzegovina,2012-04-01,
268,Bosnia and Herzegovina,2012-05-01,
269,Bosnia and Herzegovina,2012-06-01,
270,Bosnia and Herzegovina,2012-07-01,
271,Bosnia and Herzegovina,2012-08-01,
272,Bosnia and Herzegovina,2012-09-01,
273,Bosnia and Herzegovina,2012-10-01,
274,Bosnia and Herzegovina,2012-11-01,
275,Bosnia and Herzegovina,2012-12-01,
276,Bosnia and Herzegovina,2013-01-01,
277,Bosnia and Herzegovina,2013-02-01,
278,Bosnia and Herzegovina,2013-03-01,
279,Bosnia and Herzegovina,2013-04-01,
280,Bosnia and Herzegovina,2013-05-01,
281,Bosnia and Herzegovina,2013-06-01,
282,Bosnia and Herzegovina,2013-07-01,
283,Bosnia and Herzegovina,2013-08-01,
284,Bosnia and Herzegovina,2013-09-01,
285,Bosnia and Herzegovina,2013-10-01,
286,Bosnia and Herzegovina,2013-11-01,
287,Bosnia and Herzegovina,2013-12-01,
288,Bosnia and Herzegovina,2014-01-01,
289,Bosnia and Herzegovina,2014-02-01,
290,Bosnia and Herzegovina,2014-03-01,
291,Bosnia and Herzegovina,2014-04-01,
292,Bosnia and Herzegovina,2014-05-01,
293,Bosnia and Herzegovina,2014-06-01,
294,Bosnia and Herzegovina,2014-07-01,
295,Bosnia and Herzegovina,2014-08-01,
296,Bosnia and Herzegovina,2014-09-01,
297,Bosnia and Herzegovina,2014-10-01,
298,Bosnia and Herzegovina,2014-11-01,
299,Bosnia and Herzegovina,2014-12-01,
300,Bosnia and Herzegovina,2015-01-01,1.51
301,Bosnia and Herzegovina,2015-02-01,2.13
302,Bosnia and Herzegovina,2015-03-01,3.34
303,Bosnia and Herzegovina,2015-04-01,3.98
304,Bosnia and Herzegovina,2015-05-01,4.76
305,Bosnia and Herzegovina,2015-06-01,6.85
306,Bosnia and Herzegovina,2015-07-01,7.29
307,Bosnia and Herzegovina,2015-08-01,7.8
308,Bosnia and Herzegovina,2015-09-01,4.18
309,Bosnia and Herzegovina,2015-10-01,4.15
310,Bosnia and Herzegovina,2015-11-01,3.58
311,Bosnia and Herzegovina,2015-12-01,3.19
312,Bosnia and Herzegovina,2016-01-01,2.19
313,Bosnia and Herzegovina,2016-02-01,2.35
314,Bosnia and Herzegovina,2016-03-01,2.24
315,Bosnia and Herzegovina,2016-04-01,3.08
316,Bosnia and Herzegovina,2016-05-01,2.46
317,Bosnia and Herzegovina,2016-06-01,2.03
318,Bosnia and Herzegovina,2016-07-01,3.89
319,Bosnia and Herzegovina,2016-08-01,4.62
320,Bosnia and Herzegovina,2016-09-01,4.17
321,Bosnia and Herzegovina,2016-10-01,3.37
322,Bosnia and Herzegovina,2016-11-01,3.78
323,Bosnia and Herzegovina,2016-12-01,4.14
324,Bosnia and Herzegovina,2017-01-01,1.77
325,Bosnia and Herzegovina,2017-02-01,1.93
326,Bosnia and Herzegovina,2017-03-01,2.15
327,Bosnia and Herzegovina,2017-04-01,2.34
328,Bosnia and Herzegovina,2017-05-01,1.58
329,Bosnia and Herzegovina,2017-06-01,1.74
330,Bosnia and Herzegovina,2017-07-01,1.84
331,Bosnia and Herzegovina,2017-08-01,5.15
332,Bosnia and Herzegovina,2017-09-01,5.53
333,Bosnia and Herzegovina,2017-10-01,4.8
334,Bosnia and Herzegovina,2017-11-01,5.56
335,Bosnia and Herzegovina,2017-12-01,4.9
336,Bosnia and Herzegovina,2018-01-01,2.39
337,Bosnia and Herzegovina,2018-02-01,3.66
338,Bosnia and Herzegovina,2018-03-01,3.18
339,Bosnia and Herzegovina,2018-04-01,2.45
340,Bosnia and Herzegovina,2018-05-01,2.21
341,Bosnia and Herzegovina,2018-06-01,2.01
342,Bosnia and Herzegovina,2018-07-01,1.58
343,Bosnia and Herzegovina,2018-08-01,1.9
344,Bosnia and Herzegovina,2018-09-01,1.49
345,Bosnia and Herzegovina,2018-10-01,1.66
346,Bosnia and Herzegovina,2018-11-01,3.7
347,Bosnia and Herzegovina,2018-12-01,3.78
348,Bosnia and Herzegovina,2019-01-01,1.73
349,Bosnia and Herzegovina,2019-02-01,1.81
350,Bosnia and Herzegovina,2019-03-01,1.63
351,Bosnia and Herzegovina,2019-04-01,1.89
352,Bosnia and Herzegovina,2019-05-01,1.93
353,Bosnia and Herzegovina,2019-06-01,1.93
354,Bosnia and Herzegovina,2019-07-01,2.18
355,Bosnia and Herzegovina,2019-08-01,2.67
356,Bosnia and Herzegovina,2019-09-01,2.44
357,Bosnia and Herzegovina,2019-10-01,2.41
358,Bosnia and Herzegovina,2019-11-01,3.76
359,Bosnia and Herzegovina,2019-12-01,4.03
480,Bulgaria,2010-01-01,1.49
481,Bulgaria,2010-02-01,1.54
482,Bulgaria,2010-03-01,1.57
483,Bulgaria,2010-04-01,1.47
484,Bulgaria,2010-05-01,1.27
485,Bulgaria,2010-06-01,1.17
486,Bulgaria,2010-07-01,1.33
487,Bulgaria,2010-08-01,1.05
488,Bulgaria,2010-09-01,1.61
489,Bulgaria,2010-10-01,1.57
490,Bulgaria,2010-11-01,1.84
491,Bulgaria,2010-12-01,1.79
492,Bulgaria,2011-01-01,1.45
493,Bulgaria,2011-02-01,1.6
494,Bulgaria,2011-03-01,1.73
495,Bulgaria,2011-04-01,1.36
496,Bulgaria,2011-05-01,1.51
497,Bulgaria,2011-06-01,1.51
498,Bulgaria,2011-07-01,1.46
499,Bulgaria,2011-08-01,1.66
500,Bulgaria,2011-09-01,1.46
501,Bulgaria,2011-10-01,1.56
502,Bulgaria,2011-11-01,1.63
503,Bulgaria,2011-12-01,1.81
504,Bulgaria,2012-01-01,1.58
505,Bulgaria,2012-02-01,1.4
506,Bulgaria,2012-03-01,1.69
507,Bulgaria,2012-04-01,1.42
508,Bulgaria,2012-05-01,1.74
509,Bulgaria,2012-06-01,1.53
510,Bulgaria,2012-07-01,1.42
511,Bulgaria,2012-08-01,1.39
512,Bulgaria,2012-09-01,1.75
513,Bulgaria,2012-10-01,2.35
514,Bulgaria,2012-11-01,2.33
515,Bulgaria,2012-12-01,2.04
516,Bulgaria,2013-01-01,2.24
517,Bulgaria,2013-02-01,2.11
518,Bulgaria,2013-03-01,1.64
519,Bulgaria,2013-04-01,1.76
520,Bulgaria,2013-05-01,1.5
521,Bulgaria,2013-06-01,1.43
522,Bulgaria,2013-07-01,1.4
523,Bulgaria,2013-08-01,1.43
524,Bulgaria,2013-09-01,1.43
525,Bulgaria,2013-10-01,2.25
526,Bulgaria,2013-11-01,1.97
527,Bulgaria,2013-12-01,2.28
528,Bulgaria,2014-01-01,1.81
529,Bulgaria,2014-02-01,1.39
530,Bulgaria,2014-03-01,1.61
531,Bulgaria,2014-04-01,1.04
532,Bulgaria,2014-05-01,1.45
533,Bulgaria,2014-06-01,1.4
534,Bulgaria,2014-07-01,1.48
535,Bulgaria,2014-08-01,1.16
536,Bulgaria,2014-09-01,1.44
537,Bulgaria,2014-10-01,2.12
538,Bulgaria,2014-11-01,2.19
539,Bulgaria,2014-12-01,2.25
540,Bulgaria,2015-01-01,1.81
541,Bulgaria,2015-02-01,1.96
542,Bulgaria,2015-03-01,1.64
543,Bulgaria,2015-04-01,1.61
544,Bulgaria,2015-05-01,1.51
545,Bulgaria,2015-06-01,1.3
546,Bulgaria,2015-07-01,1.43
547,Bulgaria,2015-08-01,1.67
548,Bulgaria,2015-09-01,1.76
549,Bulgaria,2015-10-01,2.11
550,Bulgaria,2015-11-01,2.32
551,Bulgaria,2015-12-01,2.16
552,Bulgaria,2016-01-01,0.0
553,Bulgaria,2016-02-01,2.42
554,Bulgaria,2016-03-01,2.88
555,Bulgaria,2016-04-01,1.78
556,Bulgaria,2016-05-01,1.11
557,Bulgaria,2016-06-01,1.62
558,Bulgaria,2016-07-01,1.54
559,Bulgaria,2016-08-01,2.05
560,Bulgaria,2016-09-01,1.46
561,Bulgaria,2016-10-01,2.92
562,Bulgaria,2016-11-01,3.12
563,Bulgaria,2016-12-01,3.08
564,Bulgaria,2017-01-01,2.0
565,Bulgaria,2017-02-01,2.54
566,Bulgaria,2017-03-01,2.38
567,Bulgaria,2017-04-01,1.79
568,Bulgaria,2017-05-01,2.28
569,Bulgaria,2017-06-01,2.25
570,Bulgaria,2017-07-01,1.98
571,Bulgaria,2017-08-01,1.86
572,Bulgaria,2017-09-01,2.25
573,Bulgaria,2017-10-01,4.05
574,Bulgaria,2017-11-01,3.75
575,Bulgaria,2017-12-01,2.95
576,Bulgaria,2018-01-01,3.19
577,Bulgaria,2018-02-01,2.32
578,Bulgaria,2018-03-01,2.73
579,Bulgaria,2018-04-01,2.16
580,Bulgaria,2018-05-01,2.19
581,Bulgaria,2018-06-01,1.84
582,Bulgaria,2018-07-01,1.7
583,Bulgaria,2018-08-01,1.93
584,Bulgaria,2018-09-01,2.77
585,Bulgaria,2018-10-01,3.35
586,Bulgaria,2018-11-01,3.01
587,Bulgaria,2018-12-01,3.11
588,Bulgaria,2019-01-01,2.0
589,Bulgaria,2019-02-01,1.84
590,Bulgaria,2019-03-01,1.92
591,Bulgaria,2019-04-01,1.64
592,Bulgaria,2019-05-01,2.0
593,Bulgaria,2019-06-01,1.31
594,Bulgaria,2019-07-01,1.41
595,Bulgaria,2019-08-01,1.7
596,Bulgaria,2019-09-01,2.16
597,Bulgaria,2019-10-01,2.73
598,Bulgaria,2019-11-01,2.42
599,Bulgaria,2019-12-01,2.24
2400,Croatia,2010-01-01,10.9
2401,Croatia,2010-02-01,10.9
2402,Croatia,2010-03-01,12.4
2403,Croatia,2010-04-01,11.5
2404,Croatia,2010-05-01,12.6
2405,Croatia,2010-06-01,12.5
2406,Croatia,2010-07-01,14.7
2407,Croatia,2010-08-01,15.0
2408,Croatia,2010-09-01,13.8
2409,Croatia,2010-10-01,13.9
2410,Croatia,2010-11-01,13.7
2411,Croatia,2010-12-01,14.0
2412,Croatia,2011-01-01,11.8
2413,Croatia,2011-02-01,11.2
2414,Croatia,2011-03-01,12.7
2415,Croatia,2011-04-01,12.8
2416,Croatia,2011-05-01,13.4
2417,Croatia,2011-06-01,14.3
2418,Croatia,2011-07-01,15.9
2419,Croatia,2011-08-01,16.5
2420,Croatia,2011-09-01,14.2
2421,Croatia,2011-10-01,13.3
2422,Croatia,2011-11-01,13.2
2423,Croatia,2011-12-01,14.3
2424,Croatia,2012-01-01,10.1
2425,Croatia,2012-02-01,11.0
2426,Croatia,2012-03-01,11.4
2427,Croatia,2012-04-01,10.9
2428,Croatia,2012-05-01,11.4
2429,Croatia,2012-06-01,11.6
2430,Croatia,2012-07-01,13.4
2431,Croatia,2012-08-01,13.6
2432,Croatia,2012-09-01,12.5
2433,Croatia,2012-10-01,13.0
2434,Croatia,2012-11-01,12.2
2435,Croatia,2012-12-01,11.6
2436,Croatia,2013-01-01,10.3
2437,Croatia,2013-02-01,10.0
2438,Croatia,2013-03-01,12.1
2439,Croatia,2013-04-01,11.2
2440,Croatia,2013-05-01,12.1
2441,Croatia,2013-06-01,11.7
2442,Croatia,2013-07-01,13.3
2443,Croatia,2013-08-01,12.4
2444,Croatia,2013-09-01,12.2
2445,Croatia,2013-10-01,12.0
2446,Croatia,2013-11-01,12.0
2447,Croatia,2013-12-01,12.3
2448,Croatia,2014-01-01,10.7
2449,Croatia,2014-02-01,9.7
2450,Croatia,2014-03-01,10.4
2451,Croatia,2014-04-01,10.5
2452,Croatia,2014-05-01,10.8
2453,Croatia,2014-06-01,11.3
2454,Croatia,2014-07-01,11.8
2455,Croatia,2014-08-01,12.2
2456,Croatia,2014-09-01,11.8
2457,Croatia,2014-10-01,11.1
2458,Croatia,2014-11-01,10.5
2459,Croatia,2014-12-01,11.1
2460,Croatia,2015-01-01,9.3
2461,Croatia,2015-02-01,8.8
2462,Croatia,2015-03-01,9.3
2463,Croatia,2015-04-01,9.6
2464,Croatia,2015-05-01,10.0
2465,Croatia,2015-06-01,10.7
2466,Croatia,2015-07-01,11.4
2467,Croatia,2015-08-01,11.8
2468,Croatia,2015-09-01,11.6
2469,Croatia,2015-10-01,10.8
2470,Croatia,2015-11-01,10.1
2471,Croatia,2015-12-01,11.1
2472,Croatia,2016-01-01,9.1
2473,Croatia,2016-02-01,9.7
2474,Croatia,2016-03-01,10.6
2475,Croatia,2016-04-01,10.5
2476,Croatia,2016-05-01,11.3
2477,Croatia,2016-06-01,11.0
2478,Croatia,2016-07-01,12.2
2479,Croatia,2016-08-01,12.8
2480,Croatia,2016-09-01,11.8
2481,Croatia,2016-10-01,10.9
2482,Croatia,2016-11-01,11.1
2483,Croatia,2016-12-01,12.0
2484,Croatia,2017-01-01,9.4
2485,Croatia,2017-02-01,9.0
2486,Croatia,2017-03-01,9.9
2487,Croatia,2017-04-01,9.3
2488,Croatia,2017-05-01,10.6
2489,Croatia,2017-06-01,10.6
2490,Croatia,2017-07-01,11.7
2491,Croatia,2017-08-01,11.6
2492,Croatia,2017-09-01,11.6
2493,Croatia,2017-10-01,11.3
2494,Croatia,2017-11-01,11.0
2495,Croatia,2017-12-01,10.9
2496,Croatia,2018-01-01,10.0
2497,Croatia,2018-02-01,8.6
2498,Croatia,2018-03-01,11.1
2499,Croatia,2018-04-01,10.2
2500,Croatia,2018-05-01,11.0
2501,Croatia,2018-06-01,11.0
2502,Croatia,2018-07-01,11.1
2503,Croatia,2018-08-01,11.3
2504,Croatia,2018-09-01,10.6
2505,Croatia,2018-10-01,9.6
2506,Croatia,2018-11-01,11.1
2507,Croatia,2018-12-01,10.7
2508,Croatia,2019-01-01,10.0
2509,Croatia,2019-02-01,9.3
2510,Croatia,2019-03-01,10.2
2511,Croatia,2019-04-01,11.1
2512,Croatia,2019-05-01,11.3
2513,Croatia,2019-06-01,9.9
2514,Croatia,2019-07-01,11.9
2515,Croatia,2019-08-01,11.7
2516,Croatia,2019-09-01,11.4
2517,Croatia,2019-10-01,11.7
2518,Croatia,2019-11-01,10.6
2519,Croatia,2019-12-01,11.7
720,Cyprus,2010-01-01,1.05
721,Cyprus,2010-02-01,0.89
722,Cyprus,2010-03-01,0.96
723,Cyprus,2010-04-01,0.81
724,Cyprus,2010-05-01,0.72
725,Cyprus,2010-06-01,0.66
726,Cyprus,2010-07-01,0.69
727,Cyprus,2010-08-01,0.77
728,Cyprus,2010-09-01,0.87
729,Cyprus,2010-10-01,1.0
730,Cyprus,2010-11-01,0.91
731,Cyprus,2010-12-01,1.01
732,Cyprus,2011-01-01,1.18
733,Cyprus,2011-02-01,1.08
734,Cyprus,2011-03-01,0.94
735,Cyprus,2011-04-01,0.71
